sample_id	sample_set_id
LPArray0005_Cell0000319	lowpass_08Nov2014
LPArray0005_Cell0000320	lowpass_08Nov2014
LPArray0005_Cell0000321	lowpass_08Nov2014
LPArray0005_Cell0000322	lowpass_08Nov2014
LPArray0005_Cell0000323	lowpass_08Nov2014
LPArray0005_Cell0000324	lowpass_08Nov2014
LPArray0005_Cell0000325	lowpass_08Nov2014
LPArray0005_Cell0000326	lowpass_08Nov2014
LPArray0005_Cell0000327	lowpass_08Nov2014
LPArray0005_Cell0000328	lowpass_08Nov2014
LPArray0005_Cell0000329	lowpass_08Nov2014
LPArray0005_Cell0000330	lowpass_08Nov2014
LPArray0005_Cell0000331	lowpass_08Nov2014
LPArray0005_Cell0000332	lowpass_08Nov2014
LPArray0005_Cell0000333	lowpass_08Nov2014
LPArray0005_Cell0000334	lowpass_08Nov2014
LPArray0005_Cell0000335	lowpass_08Nov2014
LPArray0005_Cell0000336	lowpass_08Nov2014
LPArray0005_Cell0000337	lowpass_08Nov2014
LPArray0005_Cell0000338	lowpass_08Nov2014
LPArray0005_Cell0000339	lowpass_08Nov2014
LPArray0005_Cell0000340	lowpass_08Nov2014
LPArray0005_Cell0000341	lowpass_08Nov2014
LPArray0005_Cell0000342	lowpass_08Nov2014
LPArray0005_Cell0000343	lowpass_08Nov2014
LPArray0005_Cell0000344	lowpass_08Nov2014
LPArray0005_Cell0000345	lowpass_08Nov2014
LPArray0005_Cell0000346	lowpass_08Nov2014
LPArray0005_Cell0000347	lowpass_08Nov2014
LPArray0005_Cell0000348	lowpass_08Nov2014
LPArray0005_Cell0000349	lowpass_08Nov2014
LPArray0005_Cell0000350	lowpass_08Nov2014
LPArray0005_Cell0000351	lowpass_08Nov2014
LPArray0005_Cell0000352	lowpass_08Nov2014
LPArray0005_Cell0000353	lowpass_08Nov2014
LPArray0005_Cell0000354	lowpass_08Nov2014
LPArray0005_Cell0000355	lowpass_08Nov2014
LPArray0005_Cell0000356	lowpass_08Nov2014
LPArray0005_Cell0000357	lowpass_08Nov2014
LPArray0005_Cell0000358	lowpass_08Nov2014
LPArray0005_Cell0000359	lowpass_08Nov2014
LPArray0005_Cell0000360	lowpass_08Nov2014
LPArray0005_Cell0000361	lowpass_08Nov2014
LPArray0005_Cell0000362	lowpass_08Nov2014
LPArray0005_Cell0000363	lowpass_08Nov2014
LPArray0005_Cell0000364	lowpass_08Nov2014
LPArray0005_Cell0000365	lowpass_08Nov2014
LPArray0005_Cell0000366	lowpass_08Nov2014
LPArray0005_Cell0000367	lowpass_08Nov2014
LPArray0005_Cell0000368	lowpass_08Nov2014
LPArray0005_Cell0000369	lowpass_08Nov2014
LPArray0005_Cell0000370	lowpass_08Nov2014
LPArray0005_Cell0000371	lowpass_08Nov2014
LPArray0005_Cell0000372	lowpass_08Nov2014
LPArray0005_Cell0000373	lowpass_08Nov2014
LPArray0005_Cell0000374	lowpass_08Nov2014
LPArray0005_Cell0000375	lowpass_08Nov2014
LPArray0005_Cell0000376	lowpass_08Nov2014
LPArray0005_Cell0000377	lowpass_08Nov2014
LPArray0005_Cell0000379	lowpass_08Nov2014
LPArray0005_Cell0000380	lowpass_08Nov2014
LPArray0005_Cell0000381	lowpass_08Nov2014
LPArray0005_Cell0000382	lowpass_08Nov2014
LPArray0005_Cell0000383	lowpass_08Nov2014
LPArray0005_Cell0000384	lowpass_08Nov2014
LPArray0005_Cell0000385	lowpass_08Nov2014
LPArray0005_Cell0000386	lowpass_08Nov2014
LPArray0005_Cell0000387	lowpass_08Nov2014
LPArray0005_Cell0000388	lowpass_08Nov2014
LPArray0005_Cell0000389	lowpass_08Nov2014
LPArray0005_Cell0000390	lowpass_08Nov2014
LPArray0005_Cell0000391	lowpass_08Nov2014
LPArray0005_Cell0000392	lowpass_08Nov2014
LPArray0005_Cell0000393	lowpass_08Nov2014
LPArray0005_Cell0000394	lowpass_08Nov2014
LPArray0005_Cell0000395	lowpass_08Nov2014
LPArray0005_Cell0000396	lowpass_08Nov2014
LPArray0005_Cell0000397	lowpass_08Nov2014
LPArray0005_Cell0000398	lowpass_08Nov2014
LPArray0005_Cell0000399	lowpass_08Nov2014
LPArray0005_Cell0000400	lowpass_08Nov2014
LPArray0005_Cell0000401	lowpass_08Nov2014
LPArray0005_Cell0000402	lowpass_08Nov2014
LPArray0005_Cell0000403	lowpass_08Nov2014
LPArray0005_Cell0000404	lowpass_08Nov2014
LPArray0005_Cell0000405	lowpass_08Nov2014
LPArray0005_Cell0000406	lowpass_08Nov2014
LPArray0005_Cell0000407	lowpass_08Nov2014
LPArray0005_Cell0000408	lowpass_08Nov2014
LPArray0005_Cell0000409	lowpass_08Nov2014
LPArray0005_Cell0000410	lowpass_08Nov2014
LPArray0005_Cell0000411	lowpass_08Nov2014
LPArray0005_Cell0000412	lowpass_08Nov2014
LPArray0005_Cell0000413	lowpass_08Nov2014
LPArray0005_Cell0000414	lowpass_08Nov2014
