sample_id	sample_set_id
LP00000013_CELL00000511	lowpass_18Jan2015
LP00000013_CELL00000512	lowpass_18Jan2015
LP00000013_CELL00000513	lowpass_18Jan2015
LP00000013_CELL00000514	lowpass_18Jan2015
LP00000013_CELL00000515	lowpass_18Jan2015
LP00000013_CELL00000516	lowpass_18Jan2015
LP00000013_CELL00000517	lowpass_18Jan2015
LP00000013_CELL00000518	lowpass_18Jan2015
LP00000013_CELL00000519	lowpass_18Jan2015
LP00000013_CELL00000520	lowpass_18Jan2015
LP00000013_CELL00000521	lowpass_18Jan2015
LP00000013_CELL00000522	lowpass_18Jan2015
LP00000013_CELL00000523	lowpass_18Jan2015
LP00000013_CELL00000524	lowpass_18Jan2015
LP00000013_CELL00000525	lowpass_18Jan2015
LP00000013_CELL00000526	lowpass_18Jan2015
LP00000013_CELL00000527	lowpass_18Jan2015
LP00000013_CELL00000528	lowpass_18Jan2015
LP00000013_CELL00000529	lowpass_18Jan2015
LP00000013_CELL00000530	lowpass_18Jan2015
LP00000013_CELL00000531	lowpass_18Jan2015
LP00000013_CELL00000532	lowpass_18Jan2015
LP00000013_CELL00000533	lowpass_18Jan2015
LP00000013_CELL00000534	lowpass_18Jan2015
LP00000013_CELL00000535	lowpass_18Jan2015
LP00000013_CELL00000536	lowpass_18Jan2015
LP00000013_CELL00000537	lowpass_18Jan2015
LP00000013_CELL00000538	lowpass_18Jan2015
LP00000013_CELL00000539	lowpass_18Jan2015
LP00000013_CELL00000540	lowpass_18Jan2015
LP00000013_CELL00000541	lowpass_18Jan2015
LP00000013_CELL00000542	lowpass_18Jan2015
LP00000013_CELL00000543	lowpass_18Jan2015
LP00000013_CELL00000544	lowpass_18Jan2015
LP00000013_CELL00000545	lowpass_18Jan2015
LP00000013_CELL00000546	lowpass_18Jan2015
LP00000013_CELL00000547	lowpass_18Jan2015
LP00000013_CELL00000548	lowpass_18Jan2015
LP00000013_CELL00000549	lowpass_18Jan2015
LP00000013_CELL00000550	lowpass_18Jan2015
LP00000013_CELL00000551	lowpass_18Jan2015
LP00000013_CELL00000552	lowpass_18Jan2015
LP00000013_CELL00000553	lowpass_18Jan2015
LP00000013_CELL00000554	lowpass_18Jan2015
LP00000013_CELL00000555	lowpass_18Jan2015
LP00000013_CELL00000556	lowpass_18Jan2015
LP00000013_CELL00000557	lowpass_18Jan2015
LP00000013_CELL00000558	lowpass_18Jan2015
LP00000013_CELL00000559	lowpass_18Jan2015
LP00000013_CELL00000560	lowpass_18Jan2015
LP00000013_CELL00000561	lowpass_18Jan2015
LP00000013_CELL00000562	lowpass_18Jan2015
LP00000013_CELL00000563	lowpass_18Jan2015
LP00000013_CELL00000564	lowpass_18Jan2015
LP00000013_CELL00000565	lowpass_18Jan2015
LP00000013_CELL00000566	lowpass_18Jan2015
LP00000013_CELL00000567	lowpass_18Jan2015
LP00000013_CELL00000568	lowpass_18Jan2015
LP00000013_CELL00000569	lowpass_18Jan2015
LP00000013_CELL00000570	lowpass_18Jan2015
LP00000013_CELL00000571	lowpass_18Jan2015
LP00000013_CELL00000572	lowpass_18Jan2015
LP00000013_CELL00000573	lowpass_18Jan2015
LP00000013_CELL00000574	lowpass_18Jan2015
LP00000013_CELL00000575	lowpass_18Jan2015
LP00000013_CELL00000576	lowpass_18Jan2015
LP00000013_CELL00000577	lowpass_18Jan2015
LP00000013_CELL00000578	lowpass_18Jan2015
LP00000013_CELL00000579	lowpass_18Jan2015
LP00000013_CELL00000580	lowpass_18Jan2015
LP00000013_CELL00000581	lowpass_18Jan2015
LP00000013_CELL00000582	lowpass_18Jan2015
LP00000013_CELL00000583	lowpass_18Jan2015
LP00000013_CELL00000584	lowpass_18Jan2015
LP00000013_CELL00000585	lowpass_18Jan2015
LP00000013_CELL00000586	lowpass_18Jan2015
LP00000013_CELL00000587	lowpass_18Jan2015
LP00000013_CELL00000588	lowpass_18Jan2015
LP00000013_CELL00000589	lowpass_18Jan2015
LP00000013_CELL00000590	lowpass_18Jan2015
